,Price,Adj Close,Close,High,Low,Open,Volume
46,2018-03-09,89.87,96.54,96.54,95.0,95.29,36937300
47,2018-03-12,90.08,96.77,97.21,96.04,96.5,26073700
48,2018-03-13,87.88,94.41,97.24,93.97,97.0,35387800
49,2018-03-14,87.36,93.85,95.41,93.5,95.12,32132000
50,2018-03-15,87.67,94.18,94.58,92.83,93.53,27611000
51,2018-03-16,88.06,94.6,95.38,93.92,94.68,49081300
52,2018-03-19,86.47,92.89,93.9,92.11,93.74,33344100
53,2018-03-20,86.69,93.13,93.77,93.0,93.05,23075200
54,2018-03-21,86.09,92.48,94.05,92.21,92.93,24457100
55,2018-03-22,83.58,89.79,91.75,89.66,91.27,38604700
56,2018-03-23,81.15,87.18,90.46,87.08,89.5,44068900
57,2018-03-26,87.3,93.78,94.0,90.4,90.61,56396800
58,2018-03-27,83.28,89.47,95.14,88.51,94.94,56569000
59,2018-03-28,83.21,89.39,91.23,88.87,89.82,52501100
60,2018-03-29,84.96,91.27,92.29,88.4,90.18,45867500
61,2018-04-02,82.4,88.52,90.88,87.51,90.47,48515400
62,2018-04-03,83.51,89.71,90.05,87.89,89.58,37213800
63,2018-04-04,85.95,92.33,92.76,87.73,87.85,35560000
64,2018-04-05,85.99,92.38,93.07,91.4,92.44,29771900
65,2018-04-06,83.99,90.23,92.46,89.48,91.49,38026000
66,2018-04-09,84.49,90.77,93.17,90.62,91.04,31533900
67,2018-04-10,86.46,92.88,93.28,91.64,92.39,26812000
68,2018-04-11,85.51,91.86,93.29,91.48,92.01,24872100
69,2018-04-12,87.11,93.58,94.16,92.43,92.43,26758900
70,2018-04-13,86.64,93.08,94.18,92.44,94.05,23346100
71,2018-04-16,87.66,94.17,94.66,93.42,94.07,20288100
72,2018-04-17,89.43,96.07,96.54,94.88,95.0,26771000
73,2018-04-18,89.77,96.44,96.72,95.52,96.22,21043300
74,2018-04-19,89.47,96.11,97.07,95.34,96.44,23552500
75,2018-04-20,88.43,95.0,96.11,94.05,95.91,31154400
76,2018-04-23,88.76,95.35,96.29,94.63,95.74,22331800
77,2018-04-24,86.68,93.12,96.47,92.41,96.24,34524800
78,2018-04-25,85.93,92.31,93.3,90.28,93.3,33729300
79,2018-04-26,87.74,94.26,95.15,93.1,93.55,42529000
80,2018-04-27,89.2,95.82,97.9,93.91,97.6,48272800
81,2018-04-30,87.05,93.52,96.4,93.15,96.33,41523600
82,2018-05-01,88.43,95.0,95.29,92.79,93.21,31408900
83,2018-05-02,87.04,93.51,95.17,93.19,94.99,27471000
84,2018-05-03,87.57,94.07,94.93,92.45,92.96,31142500
85,2018-05-04,88.58,95.16,95.37,92.92,93.32,22531300
86,2018-05-07,89.57,96.22,96.71,95.1,95.17,24242000
87,2018-05-08,89.19,95.81,96.16,95.06,95.85,23484600
88,2018-05-09,90.24,96.94,96.97,95.05,96.01,27327400
89,2018-05-10,91.14,97.91,97.95,97.05,97.46,22388100
90,2018-05-11,90.95,97.7,97.87,97.04,97.8,16778300
91,2018-05-14,91.25,98.03,98.69,97.31,97.92,19454100
92,2018-05-15,90.59,97.32,97.85,96.34,97.24,24594000
93,2018-05-16,90.83,97.15,97.4,96.62,97.36,17384700
94,2018-05-17,89.92,96.18,97.54,95.83,96.76,17246700
95,2018-05-18,90.09,96.36,96.93,96.01,96.01,17865800
96,2018-05-21,91.25,97.6,98.01,96.8,97.0,19422500
97,2018-05-22,91.15,97.5,98.17,97.2,97.68,15441200
98,2018-05-23,92.24,98.66,98.73,96.32,96.71,21251200
99,2018-05-24,91.91,98.31,98.94,96.81,98.73,26649300
100,2018-05-25,91.96,98.36,98.98,97.86,98.3,18363900
101,2018-05-29,91.63,98.01,98.88,97.23,97.84,28671000
102,2018-05-30,92.51,98.95,99.25,97.91,98.31,22158500
103,2018-05-31,92.41,98.84,99.99,98.61,99.29,34140900
104,2018-06-01,94.23,100.79,100.86,99.17,99.28,28655600
105,2018-06-04,95.05,101.67,101.86,100.85,101.26,27281600
106,2018-06-05,95.54,102.19,102.33,101.53,102.0,23514400
107,2018-06-06,95.82,102.49,102.6,101.9,102.48,21122900
108,2018-06-07,94.31,100.88,102.69,100.38,102.65,28232200
109,2018-06-08,95.01,101.63,101.95,100.54,101.09,22165100
110,2018-06-11,94.47,101.05,101.59,100.67,101.01,23490900
111,2018-06-12,94.71,101.31,101.45,100.75,101.1,18325200
112,2018-06-13,94.28,100.85,102.01,100.56,101.72,29492900
113,2018-06-14,94.82,101.42,102.03,101.0,101.65,25691800
114,2018-06-15,93.61,100.13,101.53,100.07,101.51,65738600
115,2018-06-18,94.29,100.86,101.11,99.42,100.01,23586000
116,2018-06-19,94.29,100.86,101.0,99.5,99.65,28653100
117,2018-06-20,95.24,101.87,102.52,101.12,101.37,26180800
118,2018-06-21,94.56,101.14,102.46,100.88,102.08,23198200
119,2018-06-22,93.87,100.41,100.77,99.63,100.41,38923100
120,2018-06-25,91.98,98.39,100.11,97.3,100.0,35433300
121,2018-06-26,92.63,99.08,100.08,98.75,98.82,26897200
122,2018-06-27,91.19,97.54,100.02,97.4,99.58,31298400
123,2018-06-28,92.21,98.63,99.11,97.26,97.38,26650700
124,2018-06-29,92.19,98.61,99.91,98.33,98.93,28053200
125,2018-07-02,93.5,100.01,100.06,98.0,98.1,19564500
126,2018-07-03,92.6,99.05,100.63,98.94,100.48,14670300
127,2018-07-05,93.27,99.76,99.92,99.03,99.5,18977400
128,2018-07-06,94.57,101.16,101.43,99.67,99.89,19234600
129,2018-07-09,95.22,101.85,102.25,101.25,101.65,18212000
130,2018-07-10,95.47,102.12,102.51,101.86,102.0,19293100
131,2018-07-11,95.34,101.98,102.34,101.1,101.15,19644600
132,2018-07-12,97.41,104.19,104.41,102.73,102.77,24335900
133,2018-07-13,98.57,105.43,105.6,104.09,104.37,24635200
134,2018-07-16,98.08,104.91,105.82,104.52,105.4,21786900
135,2018-07-17,99.05,105.95,106.5,104.32,104.61,25901700
136,2018-07-18,98.28,105.12,106.05,104.72,105.94,29493900
137,2018-07-19,97.6,104.4,105.31,103.89,104.93,40171600
138,2018-07-20,99.35,106.27,108.2,106.08,108.08,56004000
139,2018-07-23,100.94,107.97,108.14,106.13,106.3,29707000
140,2018-07-24,100.65,107.66,108.82,107.26,108.57,26316600
141,2018-07-25,103.61,110.83,111.15,107.6,107.96,30702100
142,2018-07-26,102.48,109.62,111.0,109.5,110.74,31372100
143,2018-07-27,100.67,107.68,110.18,106.14,110.18,37005300
144,2018-07-30,98.51,105.37,107.53,104.76,107.19,34668300
145,2018-07-31,99.17,106.08,106.72,105.38,106.49,27655200
146,2018-08-01,99.36,106.28,106.45,105.42,106.03,23628700
147,2018-08-02,100.57,107.57,108.09,104.84,105.4,26104300
148,2018-08-03,101.01,108.04,108.05,106.82,107.8,18659600
149,2018-08-06,101.09,108.13,108.42,107.56,108.12,20265900
150,2018-08-07,101.79,108.88,109.1,108.17,108.56,16080200
151,2018-08-08,102.36,109.49,109.75,108.76,109.33,15487500
152,2018-08-09,102.53,109.67,110.16,109.6,109.71,13677200
153,2018-08-10,101.9,109.0,109.69,108.38,109.42,18183700
154,2018-08-13,101.17,108.21,109.58,108.1,109.24,18472500
155,2018-08-14,102.43,109.56,109.75,108.04,108.56,16788300
156,2018-08-15,101.04,107.66,108.99,106.82,108.49,29982800
157,2018-08-16,101.02,107.64,108.86,107.3,108.3,21384300
158,2018-08-17,100.96,107.58,107.9,106.69,107.36,18061500
159,2018-08-20,100.3,106.87,107.9,106.48,107.51,17914200
160,2018-08-21,99.46,105.98,107.35,105.85,106.92,22881900
161,2018-08-22,100.48,107.06,107.34,105.78,105.85,18000600
162,2018-08-23,100.94,107.56,108.18,106.87,107.15,18167700
163,2018-08-24,101.73,108.4,108.56,107.56,107.67,17234000
164,2018-08-27,102.86,109.6,109.64,108.51,109.27,19662300
165,2018-08-28,103.48,110.26,110.5,109.79,109.94,19151500
166,2018-08-29,105.13,112.02,112.03,110.27,110.45,20818000
167,2018-08-30,105.06,111.95,112.61,111.44,111.67,22798700
168,2018-08-31,105.42,112.33,112.78,111.52,111.69,23222700
169,2018-09-04,104.84,111.71,111.96,110.22,110.85,22634600
170,2018-09-05,101.82,108.49,111.42,108.1,111.01,32872400
171,2018-09-06,102.05,108.74,108.99,107.51,108.25,23477600
172,2018-09-07,101.55,108.21,108.72,107.23,108.23,22498600
173,2018-09-10,102.65,109.38,109.64,108.36,108.84,20727900
174,2018-09-11,104.4,111.24,111.59,108.89,108.9,24301800
175,2018-09-12,104.84,111.71,111.85,110.51,111.43,18891100
176,2018-09-13,105.97,112.91,113.73,112.12,112.12,26055600
177,2018-09-14,106.4,113.37,113.73,112.44,113.36,19122300
178,2018-09-17,105.24,112.14,113.7,111.86,113.69,20736500
179,2018-09-18,106.25,113.21,113.7,111.72,112.19,22170900
180,2018-09-19,104.83,111.7,113.32,111.04,113.05,21728400
181,2018-09-20,106.58,113.57,113.8,111.93,112.28,23714500
182,2018-09-21,107.23,114.26,115.29,113.51,114.0,71229700
183,2018-09-24,107.62,114.67,114.9,112.22,113.03,27334500
184,2018-09-25,107.41,114.45,115.1,113.75,114.8,22668000
185,2018-09-26,106.97,113.98,115.06,113.74,114.47,19352000
186,2018-09-27,107.37,114.41,114.91,114.2,114.78,19091300
187,2018-09-28,107.34,114.37,114.57,113.68,114.19,21647800
188,2018-10-01,108.5,115.61,115.68,114.73,114.75,18883100
189,2018-10-02,108.07,115.15,115.84,114.44,115.3,20787200
190,2018-10-03,108.09,115.17,116.18,114.93,115.42,16648000
191,2018-10-04,105.85,112.79,114.76,111.63,114.61,34821700
192,2018-10-05,105.23,112.13,113.17,110.64,112.63,29068900
193,2018-10-08,104.03,110.85,112.03,109.34,111.66,29640600
194,2018-10-09,105.36,112.26,113.08,110.8,111.14,26198600
195,2018-10-10,99.63,106.16,111.5,105.79,111.24,61376300
196,2018-10-11,99.4,105.91,108.93,104.2,105.35,63904300
197,2018-10-12,102.83,109.57,111.24,107.12,109.01,47742100
198,2018-10-15,100.98,107.6,109.48,106.95,108.91,32068100
199,2018-10-16,104.17,111.0,111.41,108.95,109.54,31610200
200,2018-10-17,103.9,110.71,111.81,109.55,111.68,26548200
201,2018-10-18,101.83,108.5,110.53,107.83,110.1,32506200
202,2018-10-19,101.98,108.66,110.86,108.21,108.93,32785500
203,2018-10-22,102.89,109.63,110.54,108.24,109.32,26545600
204,2018-10-23,101.45,108.1,108.97,105.11,107.77,43770400
205,2018-10-24,96.03,102.32,108.49,101.59,108.41,63897800
206,2018-10-25,101.64,108.3,109.27,106.15,106.55,61646800
207,2018-10-26,100.38,106.96,108.75,104.76,105.69,55523100
208,2018-10-29,97.46,103.85,108.7,101.63,108.11,55162000
209,2018-10-30,97.35,103.73,104.38,100.11,103.66,65350900
210,2018-10-31,100.24,106.81,108.14,105.39,105.44,51062400
211,2018-11-01,99.41,105.92,107.32,105.53,107.05,33384200
212,2018-11-02,99.63,106.16,107.32,104.98,106.48,37680200
213,2018-11-05,100.9,107.51,107.74,105.9,106.37,27922100
214,2018-11-06,101.09,107.72,108.84,106.28,107.38,24340200
215,2018-11-07,105.07,111.96,112.24,109.4,109.44,37901700
216,2018-11-08,104.88,111.75,112.21,110.91,111.8,25644100
217,2018-11-09,102.83,109.57,111.45,108.76,110.85,32039200
218,2018-11-12,100.3,106.87,109.96,106.1,109.42,33621800
219,2018-11-13,100.36,106.94,108.74,106.64,107.55,35374600
220,2018-11-14,98.94,104.97,108.26,104.47,108.1,39495100
221,2018-11-15,101.12,107.28,107.8,103.91,104.99,38505200
222,2018-11-16,102.07,108.29,108.88,106.8,107.08,33502100
223,2018-11-19,98.61,104.62,108.56,103.55,108.27,44773900
224,2018-11-20,95.87,101.71,102.97,99.35,101.8,64052500
225,2018-11-21,97.19,103.11,104.43,102.24,103.6,28130600
226,2018-11-23,97.15,103.07,103.81,102.0,102.17,13823100
227,2018-11-26,100.35,106.47,106.63,104.58,104.79,32336200
228,2018-11-27,100.98,107.14,107.33,105.36,106.27,29124500
229,2018-11-28,104.74,111.12,111.33,107.86,107.89,46788500
230,2018-11-29,103.86,110.19,111.12,109.03,110.33,28123200
231,2018-11-30,104.52,110.89,110.97,109.36,110.7,33665600
232,2018-12-03,105.65,112.09,113.42,110.73,113.0,34732800
233,2018-12-04,102.29,108.52,112.64,108.21,111.94,45197000
234,2018-12-06,102.92,109.19,109.24,105.0,105.82,49107400
235,2018-12-07,98.8,104.82,109.45,104.3,108.38,45044900
236,2018-12-10,101.41,107.59,107.98,103.89,104.8,40801500
237,2018-12-11,102.35,108.59,110.95,107.44,109.8,42381900
238,2018-12-12,102.81,109.08,111.27,109.04,110.89,36183000
239,2018-12-13,103.16,109.45,110.87,108.63,109.58,31333400
240,2018-12-14,99.94,106.03,109.26,105.5,108.25,47043100
241,2018-12-17,96.98,102.89,105.8,101.71,105.41,56957300
242,2018-12-18,98.0,103.97,104.51,102.52,103.75,49319200
243,2018-12-19,97.73,103.69,106.88,101.35,103.65,68198200
244,2018-12-20,95.68,101.51,104.31,98.78,103.05,70334200
245,2018-12-21,92.59,98.23,103.0,97.46,101.63,111242100
246,2018-12-24,88.72,94.13,97.97,93.98,97.68,43935200
247,2018-12-26,94.78,100.56,100.69,93.96,95.14,51634800
248,2018-12-27,95.37,101.18,101.19,96.4,99.3,49498500
249,2018-12-28,94.62,100.39,102.41,99.52,102.09,38196300
250,2018-12-31,95.73,101.57,102.4,100.44,101.29,33173800
251,2019-01-02,95.31,101.12,101.75,98.94,99.55,35329300
252,2019-01-03,91.8,97.4,100.19,97.2,100.1,42579100
253,2019-01-04,96.07,101.93,102.51,98.93,99.72,44060600
254,2019-01-07,96.2,102.06,103.27,100.98,101.64,35656100
255,2019-01-08,96.89,102.8,103.97,101.71,103.04,31514400
256,2019-01-09,98.28,104.27,104.88,103.24,103.86,32280800
257,2019-01-10,97.65,103.6,103.75,102.38,103.22,30067600
258,2019-01-11,96.89,102.8,103.44,101.64,103.19,28314200
259,2019-01-14,96.19,102.05,102.87,101.26,101.9,28437100
260,2019-01-15,98.98,105.01,105.05,101.88,102.51,31587600
261,2019-01-16,99.33,105.38,106.26,104.96,105.26,29853900
262,2019-01-17,100.02,106.12,106.63,104.76,105.0,28393000
263,2019-01-18,101.52,107.71,107.9,105.91,107.46,37427600
264,2019-01-22,99.61,105.68,107.1,104.86,106.75,32371300
265,2019-01-23,100.58,106.71,107.04,105.34,106.12,25874300
266,2019-01-24,100.1,106.2,107.0,105.34,106.86,23164800
267,2019-01-25,101.01,107.17,107.88,106.2,107.24,31225600
268,2019-01-28,99.04,105.08,106.48,104.66,106.26,29476700
269,2019-01-29,97.03,102.94,104.97,102.17,104.88,31490500
270,2019-01-30,100.27,106.38,106.38,104.33,104.62,49471900
271,2019-01-31,98.43,104.43,105.22,103.18,103.8,55636400
272,2019-02-01,96.88,102.78,104.1,102.35,103.78,35535700
273,2019-02-04,99.67,105.74,105.8,102.77,102.87,31315100
274,2019-02-05,101.06,107.22,107.27,105.96,106.06,27325400
275,2019-02-06,99.94,106.03,107.0,105.53,107.0,20609800
276,2019-02-07,99.22,105.27,105.59,104.29,105.19,29760700
277,2019-02-08,99.6,105.67,105.78,104.26,104.39,21461100
278,2019-02-11,99.2,105.25,106.58,104.97,106.2,18914100
279,2019-02-12,100.75,106.89,107.14,105.48,106.14,25056600
280,2019-02-13,100.67,106.81,107.78,106.71,107.5,18394900
281,2019-02-14,100.76,106.9,107.29,105.66,106.31,21784700
282,2019-02-15,102.0,108.22,108.3,107.36,107.91,26606900
283,2019-02-19,101.96,108.17,108.66,107.78,107.79,18038500
284,2019-02-20,101.43,107.15,107.94,106.29,107.86,21607700
285,2019-02-21,103.56,109.41,109.48,106.87,106.9,29063200
286,2019-02-22,105.04,110.97,111.2,109.82,110.05,27763200
287,2019-02-25,105.63,111.59,112.18,111.26,111.76,23750600
288,2019-02-26,106.36,112.36,113.24,111.17,111.26,21536700
289,2019-02-27,106.18,112.17,112.36,110.88,111.69,21487100
290,2019-02-28,106.04,112.03,112.88,111.73,112.04,29083900
291,2019-03-01,106.52,112.53,113.02,111.67,112.89,23501200
292,2019-03-04,106.26,112.26,113.25,110.8,113.02,26608000
293,2019-03-05,105.73,111.7,112.39,111.23,112.25,19538300
294,2019-03-06,105.78,111.75,112.66,111.43,111.87,17687000
295,2019-03-07,104.49,110.39,111.55,109.87,111.4,25339000
296,2019-03-08,104.61,110.51,110.71,108.8,109.16,22818400
297,2019-03-11,106.8,112.83,112.95,110.98,110.99,26491600
298,2019-03-12,107.55,113.62,113.99,112.65,112.82,26132700
299,2019-03-13,108.38,114.5,115.0,113.78,114.13,35513800
300,2019-03-14,108.47,114.59,115.2,114.33,114.54,30763400
301,2019-03-15,109.72,115.91,117.25,114.59,115.34,54681100
302,2019-03-18,111.29,117.57,117.61,116.05,116.17,31207600
303,2019-03-19,111.36,117.65,118.44,116.99,118.09,37588700
304,2019-03-20,111.24,117.52,118.75,116.71,117.39,28113300
305,2019-03-21,113.8,120.22,120.82,117.09,117.14,29854400
306,2019-03-22,110.8,117.05,119.59,117.04,119.5,33624500
307,2019-03-25,111.37,117.66,118.01,116.32,116.56,27067100
308,2019-03-26,111.61,117.91,118.71,116.85,118.62,26097700
309,2019-03-27,110.53,116.77,118.21,115.52,117.88,22733400
310,2019-03-28,110.68,116.93,117.58,116.13,117.44,18334800
311,2019-03-29,111.64,117.94,118.32,116.96,118.07,25399800
312,2019-04-01,112.66,119.02,119.11,118.1,118.95,22789100
313,2019-04-02,112.82,119.19,119.48,118.52,119.06,18142300
314,2019-04-03,113.56,119.97,120.43,119.15,119.86,22860700
315,2019-04-04,112.98,119.36,120.23,118.38,120.1,20112800
316,2019-04-05,113.48,119.89,120.23,119.37,119.39,15826200
317,2019-04-08,113.52,119.93,120.02,118.64,119.81,15116200
318,2019-04-09,112.91,119.28,119.54,118.58,118.63,17612000
319,2019-04-10,113.77,120.19,120.35,119.54,119.76,16477200
320,2019-04-11,113.9,120.33,120.85,119.92,120.54,14209100
321,2019-04-12,114.49,120.95,120.98,120.37,120.64,19745100
322,2019-04-15,114.58,121.05,121.58,120.57,120.94,15792600
323,2019-04-16,114.32,120.77,121.65,120.1,121.64,14071800
324,2019-04-17,115.26,121.77,121.85,120.54,121.24,19300900
325,2019-04-18,116.78,123.37,123.52,121.3,122.19,27991000
326,2019-04-22,117.15,123.76,124.0,122.57,122.62,15648700
327,2019-04-23,118.74,125.44,125.58,123.83,124.1,24025500
328,2019-04-24,118.33,125.01,125.85,124.52,125.79,31257000
329,2019-04-25,122.25,129.15,131.37,128.83,130.06,38033900
330,2019-04-26,122.95,129.89,130.52,129.02,129.7,23654900
331,2019-04-29,122.84,129.77,130.18,129.35,129.9,16324200
332,2019-04-30,123.62,130.6,130.7,129.39,129.81,24166500
333,2019-05-01,121.05,127.88,130.65,127.7,130.53,26821700
334,2019-05-02,119.47,126.21,128.0,125.52,127.98,27350200
335,2019-05-03,122.01,128.9,129.43,127.25,127.36,24911100
336,2019-05-06,121.3,128.15,128.56,126.11,126.39,24239800
337,2019-05-07,118.81,125.52,127.18,124.22,126.46,36017700
338,2019-05-08,118.8,125.51,126.37,124.75,125.44,28419000
339,2019-05-09,118.8,125.5,125.79,123.57,124.29,27235800
340,2019-05-10,120.34,127.13,127.93,123.82,124.91,30915100
341,2019-05-13,116.76,123.35,125.55,123.04,124.11,33944900
342,2019-05-14,118.07,124.73,125.88,123.7,123.87,25266300
343,2019-05-15,119.73,126.02,126.71,123.7,124.26,24722700
344,2019-05-16,122.49,128.93,129.38,126.46,126.75,30112200
345,2019-05-17,121.68,128.07,130.46,127.92,128.31,25770500
346,2019-05-20,119.92,126.22,127.59,125.76,126.52,23706900
347,2019-05-21,120.56,126.9,127.53,126.58,127.43,15293300
348,2019-05-22,121.3,127.67,128.24,126.52,126.62,15396500
349,2019-05-23,119.88,126.18,126.29,124.74,126.2,23603800
350,2019-05-24,119.94,126.24,127.42,125.97,126.91,14123400
351,2019-05-28,119.86,126.16,128.0,126.05,126.98,23128400
352,2019-05-29,118.7,124.94,125.39,124.04,125.38,22763100
353,2019-05-30,119.45,125.73,125.76,124.78,125.26,16829600
354,2019-05-31,117.51,123.68,124.62,123.32,124.23,26646800
355,2019-06-03,113.86,119.84,124.37,119.01,123.85,37983600
356,2019-06-04,117.01,123.16,123.28,120.65,121.28,29382600
357,2019-06-05,119.55,125.83,125.87,124.21,124.95,24926100
358,2019-06-06,121.44,127.82,127.97,125.6,126.44,21459000
359,2019-06-07,124.84,131.4,132.25,128.26,129.19,33885600
360,2019-06-10,125.98,132.6,134.08,132.0,132.4,26477100
361,2019-06-11,125.51,132.1,134.24,131.28,133.88,23913700
362,2019-06-12,124.93,131.49,131.97,130.71,131.4,17092500
363,2019-06-13,125.71,132.32,133.0,131.56,131.98,17200800
364,2019-06-14,125.84,132.45,133.79,131.64,132.26,17821700
365,2019-06-17,126.22,132.85,133.73,132.53,132.63,14517800
366,2019-06-18,128.41,135.16,135.24,133.57,134.19,25934500
367,2019-06-19,128.92,135.69,135.93,133.81,135.0,23744400
368,2019-06-20,130.11,136.95,137.66,135.72,137.45,33042600
369,2019-06-21,130.13,136.97,137.73,136.46,136.58,36727900
370,2019-06-24,130.9,137.78,138.4,137.0,137.0,20628800
371,2019-06-25,126.77,133.43,137.59,132.73,137.25,33327400
372,2019-06-26,127.24,133.93,135.74,133.6,134.35,23657700
373,2019-06-27,127.45,134.15,134.71,133.51,134.14,16557500
374,2019-06-28,127.27,133.96,134.6,133.16,134.57,30043000
375,2019-07-01,128.91,135.68,136.7,134.97,136.63,22613500
376,2019-07-02,129.76,136.58,136.59,135.34,136.12,15237800
377,2019-07-03,130.6,137.46,137.74,136.29,136.8,13629300
378,2019-07-05,130.22,137.06,137.33,135.72,135.94,18141100
379,2019-07-08,130.12,136.96,137.1,135.37,136.4,16779700
380,2019-07-09,129.65,136.46,136.97,135.8,136.0,19953100
381,2019-07-10,130.97,137.85,138.58,137.02,137.13,24204400
382,2019-07-11,131.49,138.4,139.22,137.87,138.2,22327900
383,2019-07-12,131.97,138.9,139.13,138.01,138.85,18936800
384,2019-07-15,131.97,138.9,139.54,138.46,139.44,16651500
385,2019-07-16,130.24,137.08,139.05,136.52,138.96,22726100
386,2019-07-17,129.47,136.27,137.93,136.22,137.7,20211000
387,2019-07-18,129.61,136.42,136.62,134.67,135.55,30381800
388,2019-07-19,129.8,136.62,140.67,136.45,140.22,48992400
389,2019-07-22,131.52,138.43,139.19,137.33,137.41,25074900
390,2019-07-23,132.34,139.29,139.99,138.03,139.76,18034600
391,2019-07-24,133.69,140.72,140.74,138.85,138.9,20738300
392,2019-07-25,133.19,140.19,140.61,139.32,140.43,18356900
393,2019-07-26,134.28,141.34,141.68,140.3,140.37,19037600
394,2019-07-29,133.99,141.03,141.51,139.37,141.5,16605900
395,2019-07-30,133.34,140.35,141.22,139.8,140.14,16846500
396,2019-07-31,129.47,136.27,140.49,135.08,140.33,38598800
397,2019-08-01,131.17,138.06,140.94,136.93,137.0,40557500
398,2019-08-02,130.07,136.9,138.32,135.26,138.09,30791600
399,2019-08-05,125.61,132.21,133.93,130.78,133.3,42749600
400,2019-08-06,127.97,134.69,135.68,133.21,133.8,32696700
401,2019-08-07,128.53,135.28,135.65,131.83,133.79,33414500
402,2019-08-08,131.96,138.89,138.99,135.93,136.6,27496500
403,2019-08-09,130.84,137.71,139.38,136.46,138.61,23466700
404,2019-08-12,129.01,135.79,137.86,135.24,137.07,20484300
405,2019-08-13,131.68,138.6,138.8,135.0,136.05,25154600
406,2019-08-14,127.72,133.98,136.92,133.67,136.36,32527300
407,2019-08-15,127.43,133.68,134.58,132.25,134.39,28074400
408,2019-08-16,129.76,136.13,136.46,134.72,134.88,24449100
409,2019-08-19,131.94,138.41,138.55,136.89,137.85,24355700
410,2019-08-20,130.84,137.26,138.71,137.24,138.21,21170800
411,2019-08-21,132.3,138.79,139.49,138.0,138.55,14970300
412,2019-08-22,131.34,137.78,139.2,136.29,138.66,18697000
413,2019-08-23,127.15,133.39,138.35,132.8,137.19,38508600
414,2019-08-26,129.12,135.45,135.56,133.9,134.99,20312600
415,2019-08-27,129.39,135.74,136.72,134.66,136.39,23102100
416,2019-08-28,129.22,135.56,135.76,133.55,134.88,17393300
417,2019-08-29,131.66,138.12,138.44,136.91,137.25,20168700
418,2019-08-30,131.41,137.86,139.18,136.27,139.15,23940100
419,2019-09-03,129.68,136.04,137.2,135.7,136.61,18869300
420,2019-09-04,131.19,137.63,137.69,136.48,137.3,17995900
421,2019-09-05,133.5,140.05,140.38,138.76,139.11,26101800
